step,sr_dense,sr_sparse,pe_dense,pe_sparse
0,0.03,0.02,0.1,0.08
10000,0.07128667891196253,0.05450529354595561,0.13165280076009325,0.10718091764338988
20000,0.11065808832327403,0.08765761517976053,0.16214060175744455,0.13349265612920708
30000,0.14820307667989313,0.11951001568890142,0.19150628148667653,0.15896300967756855
40000,0.18400637079040758,0.150113465709734,0.2197911402744503,0.18361888371752288
50000,0.21814876702684177,0.179516937291376,0.24703495836485567,0.2074863233084116
60000,0.2507073136557495,0.20776748226143293,0.2732760518669357,0.23059054065238438
70000,0.28175548471105283,0.23491030751896158,0.29855132664302936,0.2529559417271318
80000,0.31136334580100333,0.2609888473751521,0.32289633021372266,0.2746061520669687
90000,0.33959771222343604,0.28604483305749273,0.3463453017524079,0.29556404171950057
100000,0.36652229974613204,0.3101183594886374,0.3689312202397639,0.31585174940423866
110000,0.3921978683925511,0.33324794944683567,0.3906858508458828,0.3354907058986803
120000,0.41668235955741195,0.3554706152105961,0.4116397896052749,0.3545016566765601
130000,0.4400310267615466,0.376821917786229,0.43182250644758546,0.3729046838221856
140000,0.46229656034109745,0.39733602381304295,0.451262386644539,0.39071922724400604
150000,0.48352920635244345,0.4170457602372568,0.46998677073140616,0.4079641052098229
160000,0.5037768799611808,0.4359826668421173,0.4880219929591373,0.4246575342253348
170000,0.5230852735710436,0.45417704671828124,0.5053934183312423,0.44081714827701574
180000,0.5414979599367761,0.471658014755225,0.5221254782775077,0.4564600174596523
190000,0.5590564904936447,0.4884535442312799,0.5382417050147207,0.47160266600821865
200000,0.575800489125494,0.504590511576845,0.5537647646427274,0.4862610897531364
210000,0.5917677415829437,0.5200947393824099,0.5687164890223708,0.5004507730173571
220000,0.6069942807535205,0.5349910377202085,0.5831179064801437,0.5141867049731182
230000,0.6215144679761466,0.5493032438456276,0.5969892713827377,0.5274833954756503
240000,0.6353610705834896,0.5630542603419014,0.6103500926230846,0.5403548903905601
250000,0.6485653358471573,0.5762660917691308,0.6232191610579528,0.5528147864310822
260000,0.6611570614926121,0.5889598798762735,0.635614575935685,0.5648762455208719
270000,0.6731646629429305,0.6011559374324537,0.6475537703512504,0.57655200869751
280000,0.6846152374431567,0.6128737807317252,0.6590535357644063,0.5878544095714094
290000,0.6955346252099578,0.6241321608233074,0.6701300456154573,0.5987953873543371
300000,0.7059474677445755,0.6349490935172623,0.6807988780718192,0.6093864994713166
310000,0.7158772634406679,0.6453418882136356,0.6910750379373858,0.6196389337692332
320000,0.7253464206125289,0.6553271756011892,0.7009729777555063,0.6295635203350369
330000,0.7343763080633544,0.6649209342700517,0.7105066181352563,0.6391707429360292
340000,0.7429873033076706,0.6741385162808708,0.7196893673295897,0.6484707500943161
350000,0.7511988385567456,0.6829946717313863,0.7285341400929018,0.65747336580713
360000,0.7590294445707614,0.6915035723597329,0.7370533758445333,0.6661880999243377
370000,0.7664967924767021,0.6996788342222449,0.7452590561637524,0.6746241581941058
380000,0.7736177336463322,0.707533539482051,0.7531627216408256,0.6827904519873262
390000,0.7804083377242527,0.715080257343327,0.7607754881078757,0.6906956077110816
400000,0.7868839288918548,0.7223310641647033,0.7681080622723504,0.6983479759210893
410000,0.7930591204490053,0.7292975627840151,0.7751707567750963,0.7057556401427522
420000,0.7989478477915043,0.7359909010853193,0.7819735046942088,0.712926425410134
430000,0.8045633998587337,0.742421789837886,0.7885258735150598,0.7198679065318792
440000,0.8099184491224652,0.7486005198357156,0.7948370785861515,0.7265874160928086
450000,0.8150250801845008,0.7545369783650039,0.8009159960797183,0.7330920521996446
460000,0.8198948170476823,0.7602406650259098,0.8067711754753073,0.739388685979045
470000,0.8245386491218122,0.7657207069339421,0.8124108515838927,0.7454839688358708
